recv_wall_ns,send_wall_ns,delay_ms,sim_s,seq,veh,edge,x,y,speed,bytes
1761732230998029000,1761732230996788000,1.241,5.000,1,veh1,-348677321,2786.350,716.870,0.000,62
1761732231018266000,1761732231018160000,0.106,6.000,2,veh1,-348677321,2786.590,718.850,1.990,62
1761732231050257000,1761732231050150000,0.107,7.000,3,veh1,-348677321,2787.010,722.250,3.430,62
1761732231062769000,1761732231062693000,0.076,8.000,4,veh1,-348677321,2787.730,728.070,5.860,62
1761732231086214000,1761732231085922000,0.292,9.000,5,veh1,-348677321,2788.690,735.870,7.860,125
1761732231086214000,1761732231086122000,0.092,9.000,6,veh2,215189962,1118.660,973.610,13.030,125
1761732231114622000,1761732231113911000,0.711,10.000,7,veh1,-348677321,2789.940,745.970,10.170,128
1761732231114622000,1761732231114529000,0.093,10.000,8,veh2,215189962,1113.830,962.550,12.060,128
1761732231142578000,1761732231141926000,0.652,11.000,9,veh1,-348677321,2791.390,757.740,11.860,129
1761732231142578000,1761732231142468000,0.110,11.000,10,veh2,215189962,1109.000,951.490,12.070,129
1761732231164900000,1761732231164451000,0.449,12.000,11,veh1,-348677321,2793.130,771.790,14.160,130
1761732231164900000,1761732231164794000,0.106,12.000,12,veh2,215189962,1104.140,940.340,12.160,130
1761732231187065000,1761732231186284000,0.781,13.000,13,veh1,-348677321,2794.850,785.720,14.040,195
1761732231187065000,1761732231186723000,0.342,13.000,14,veh2,215189962,1099.260,929.160,12.200,195
1761732231187065000,1761732231186943000,0.122,13.000,15,veh3,693126924,3095.270,1375.370,0.000,195
1761732231211737000,1761732231209569000,2.168,14.000,16,veh1,-348677321,2796.530,799.330,13.710,195
1761732231211737000,1761732231211039000,0.698,14.000,17,veh2,215189962,1094.290,917.780,12.410,195
1761732231211737000,1761732231211573000,0.164,14.000,18,veh3,693126924,3094.070,1377.270,2.250,195
1761732231227733000,1761732231226375000,1.358,15.000,19,veh1,-348677321,2798.280,813.510,14.300,195
